iter	Passed	Remaining
1595	4981	324
1596	4984	321
1597	4987	318
1598	4990	315
1599	4992	312
1600	4995	308
1601	4998	305
1602	5000	302
1603	5003	299
1604	5006	296
1605	5008	293
1606	5011	290
1607	5013	286
1608	5016	283
1609	5018	280
1610	5020	277
1611	5022	274
1612	5024	271
1613	5027	267
1614	5029	264
1615	5031	261
1616	5033	258
1617	5035	255
1618	5038	252
1619	5040	248
1620	5042	245
1621	5044	242
1622	5046	239
1623	5048	236
1624	5051	233
1625	5053	229
1626	5055	226
1627	5057	223
1628	5060	220
1629	5062	217
1630	5064	214
1631	5066	211
1632	5068	207
1633	5070	204
1634	5073	201
1635	5075	198
1636	5077	195
1637	5079	192
1638	5081	189
1639	5083	185
1640	5085	182
1641	5087	179
1642	5089	176
1643	5091	173
1644	5094	170
1645	5096	167
1646	5098	164
1647	5100	160
1648	5102	157
1649	5104	154
1650	5107	151
1651	5109	148
1652	5111	145
1653	5113	142
1654	5115	139
1655	5117	135
1656	5119	132
1657	5122	129
1658	5124	126
1659	5126	123
1660	5128	120
1661	5130	117
1662	5132	114
1663	5135	111
1664	5137	107
1665	5139	104
1666	5141	101
1667	5144	98
1668	5146	95
1669	5147	92
1670	5149	89
1671	5151	86
1672	5153	83
1673	5156	80
1674	5158	76
1675	5160	73
1676	5162	70
1677	5164	67
1678	5166	64
1679	5169	61
1680	5171	58
1681	5173	55
1682	5175	52
1683	5178	49
1684	5180	46
1685	5182	43
1686	5184	39
1687	5187	36
1688	5189	33
1689	5191	30
1690	5194	27
1691	5197	24
1692	5201	21
1693	5203	18
1694	5205	15
1695	5208	12
1696	5210	9
1697	5212	6
1698	5213	3
1699	5215	0
